year,stationid,station,startpoints,endpoints,total_points,ranking,service
2018-01-01,519,Pershing Square North,150257,149932,300189,1,citi
2018-01-01,497,E 17 St & Broadway,108883,113336,222219,2,citi
2018-01-01,435,W 21 St & 6 Ave,107165,108636,215801,3,citi
2019-01-01,519,Pershing Square North,156575,155536,312111,1,citi
2019-01-01,497,E 17 St & Broadway,121781,125466,247247,2,citi
2019-01-01,3255,8 Ave & W 31 St,119958,121631,241589,3,citi
2020-01-01,426,West St & Chambers St,99364,101767,201131,1,citi
2020-01-01,3141,1 Ave & E 68 St,100753,100260,201013,2,citi
2020-01-01,435,W 21 St & 6 Ave,99191,100313,199504,3,citi
2013-01-01,90,Millennium Park,17272,18395,35667,1,divvy
2013-01-01,35,Streeter Dr & Illinois St,16710,18544,35254,2,divvy
2013-01-01,76,Lake Shore Dr & Monroe St,15673,15457,31130,3,divvy
2014-01-01,35,Streeter Dr & Illinois St,54214,67048,121262,1,divvy
2014-01-01,76,Lake Shore Dr & Monroe St,41326,42060,83386,2,divvy
2014-01-01,177,Theater on the Lake,38667,41297,79964,3,divvy
2015-01-01,35,Streeter Dr & Illinois St,66759,78509,145268,1,divvy
2015-01-01,76,Lake Shore Dr & Monroe St,48768,46807,95575,2,divvy
2015-01-01,177,Theater on the Lake,42683,45104,87787,3,divvy
2016-01-01,35,Streeter Dr & Grand Ave,90042,99495,189537,1,divvy
2016-01-01,76,Lake Shore Dr & Monroe St,51090,48583,99673,2,divvy
2016-01-01,177,Theater on the Lake,47927,51281,99208,3,divvy
2017-01-01,35,Streeter Dr & Grand Ave,97571,106023,203594,1,divvy
2017-01-01,192,Canal St & Adams St,50911,52608,103519,2,divvy
2017-01-01,76,Lake Shore Dr & Monroe St,53400,50107,103507,3,divvy
2018-01-01,35,Streeter Dr & Grand Ave,66944,78221,145165,1,divvy
2018-01-01,192,Canal St & Adams St,62654,59179,121833,2,divvy
2018-01-01,77,Clinton St & Madison St,51692,50068,101760,3,divvy
2019-01-01,35,Streeter Dr & Grand Ave,67983,81723,149706,1,divvy
2019-01-01,192,Canal St & Adams St,54389,50127,104516,2,divvy
2019-01-01,91,Clinton St & Washington Blvd,48153,50686,98839,3,divvy
2020-01-01,-1,,94607,110714,205321,1,divvy
2020-01-01,35,Streeter Dr & Grand Ave,34783,37207,71990,2,divvy
2020-01-01,176,Clark St & Elm St,30522,30527,61049,3,divvy
