endid,endname,end_lat,end_long,geometry,zipcode
706,Dauphin Ave & 87th St,41.73656,-87.60126,POINT (-87.60126 41.73656),60619
707,Torrence Ave & 106th St,41.702866,-87.55993,POINT (-87.55992999999999 41.702866),60617
708,Clyde Ave & 87th St,41.7372,-87.57263,POINT (-87.57263 41.7372),60617
709,Michigan Ave & 114th St,41.68701,-87.62112,POINT (-87.62112 41.68701),60628
71,Morgan St & Lake St,41.885567,-87.652435,POINT (-87.652435 41.885567),60607
710,Burnham Greenway & 105th St,41.704575,-87.52823,POINT (-87.52822999999999 41.704575),60617
711,Halsted St & 111th St,41.692284,-87.642715,POINT (-87.642715 41.692284),60643
712,Wentworth Ave & 104th St,41.70536,-87.62887,POINT (-87.62887000000001 41.70536),60628
713,Major Taylor Trail & 115th St,41.685,-87.645386,POINT (-87.645386 41.685),60643
714,State St & 123rd St,41.6707,-87.62269,POINT (-87.62269000000001 41.6707),60628
715,Major Taylor Trail & 124th St,41.66875,-87.63726,POINT (-87.63726 41.66875),60628
716,Eberhart Ave & 131st St,41.657974,-87.61076,POINT (-87.61076 41.657974),60827
717,Big Marsh Park,41.685905,-87.573685,POINT (-87.573685 41.685905),60617
718,Ewing Ave & Burnham Greenway,41.712666,-87.53453,POINT (-87.53453 41.712666),60617
719,Avenue O & 118th St,41.681057,-87.53793,POINT (-87.53793 41.681057),60617
72,Wabash Ave & 16th St,41.860386,-87.62582,POINT (-87.62582 41.860386),60616
720,Torrence Ave & 126th Pl,41.666313,-87.55721,POINT (-87.55721 41.666313),60633
721,Walden Pkwy & 100th St,41.712223,-87.66774,POINT (-87.66773999999999 41.712223),60643
722,Commercial Ave & 130th St,41.65915,-87.550766,POINT (-87.550766 41.65915),60633
723,Hale Ave & 107th St,41.699238,-87.668945,POINT (-87.66894499999999 41.699238),60643
724,Homewood Ave & 115th St,41.68458,-87.67086,POINT (-87.67086 41.68458),60643
725,Halsted St & 104th St,41.7052,-87.64239,POINT (-87.64239000000001 41.7052),60628
726,Vincennes Ave & 104th St,41.704967,-87.65699,POINT (-87.65698999999999 41.704967),60643
727,Ada St & 113th St,41.687557,-87.655464,POINT (-87.65546399999999 41.687557),60643
728,Western Ave & 111th St,41.69122,-87.68132,POINT (-87.68132 41.69122),60643
73,Jefferson St & Monroe St,41.88042,-87.642746,POINT (-87.642746 41.88042),60661
730,Lawndale Ave & 111th St,41.691315,-87.7128,POINT (-87.7128 41.691315),60655
731,Bradley Park,41.717983,-87.56464,POINT (-87.56464 41.717983),60617
732,Hegewisch Metra Station,41.648502,-87.54609,POINT (-87.54609000000001 41.648502),60633
74,Kingsbury St & Erie St,41.893806,-87.6417,POINT (-87.6417 41.893806),60654
75,Canal St & Jackson Blvd,41.877247,-87.639366,POINT (-87.639366 41.877247),60607
76,Lake Shore Dr & Monroe St,41.88111,-87.61676,POINT (-87.61676 41.88111),60601
77,Clinton St & Madison St,41.88224,-87.64107,POINT (-87.64107 41.88224),60661
80,Aberdeen St & Monroe St,41.88042,-87.65552,POINT (-87.65552 41.88042),60607
81,Daley Center Plaza,41.88424,-87.62963,POINT (-87.62963000000001 41.88424),60602
84,Milwaukee Ave & Grand Ave,41.891743,-87.64847,POINT (-87.64847 41.891743),60642
85,Michigan Ave & Oak St,41.90096,-87.62378,POINT (-87.62378 41.90096),60611
86,Eckhart Park,41.8964,-87.661,POINT (-87.661 41.8964),60642
87,Racine Ave & Fullerton Ave,41.925564,-87.6584,POINT (-87.6584 41.925564),60614
88,Racine Ave & Randolph St,41.884068,-87.65685,POINT (-87.65685000000001 41.884068),60607
89,Financial Pl & Ida B Wells Dr,41.875576,-87.63296,POINT (-87.63296 41.875576),60605
9,Leavitt St & Archer Ave,41.828793,-87.6806,POINT (-87.6806 41.828793),60609
90,Millennium Park,41.88103,-87.624084,POINT (-87.624084 41.88103),60603
91,Clinton St & Washington Blvd,41.88338,-87.64117,POINT (-87.64117 41.88338),60661
92,Carpenter St & Huron St,41.894554,-87.65345,POINT (-87.65345000000001 41.894554),60642
93,Sheffield Ave & Willow St,41.91369,-87.652855,POINT (-87.652855 41.91369),60614
94,Clark St & Armitage Ave,41.918304,-87.636284,POINT (-87.636284 41.918304),60614
95,Stony Island Ave & 64th St,41.77888,-87.58665,POINT (-87.58665000000001 41.77888),60637
96,Desplaines St & Randolph St,41.884617,-87.64457,POINT (-87.64457 41.884617),60661
97,Field Museum,41.86531,-87.61787,POINT (-87.61787 41.86531),60605
98,LaSalle St & Washington St,41.882664,-87.63253,POINT (-87.63253 41.882664),60602
99,Lake Shore Dr & Ohio St,41.89257,-87.614494,POINT (-87.61449399999999 41.89257),60611
TA1309000012,Damen Ave & Sunnyside Ave,41.96325,-87.67926,POINT (-87.67926 41.96325),60625
TA1309000014,Clark St & Leland Ave,41.967094,-87.66743,POINT (-87.66743 41.967094),60640
TA1309000015,Leavitt St & Lawrence Ave,41.968887,-87.68405,POINT (-87.68405 41.968887),60625
TA1309000018,Ravenswood Ave & Berteau Ave,41.95792,-87.67357,POINT (-87.67357 41.95792),60613
TA1309000019,Lakeview Ave & Fullerton Pkwy,41.926167,-87.63891,POINT (-87.63891 41.926167),60614
TA1309000021,Paulina St & Montrose Ave,41.961506,-87.67139,POINT (-87.67139 41.961506),60613
TA1309000023,Sheffield Ave & Wrightwood Ave,41.92871,-87.65383,POINT (-87.65383 41.92871),60614
TA1309000024,Clark St & Schiller St,41.908203,-87.63144,POINT (-87.63144 41.908203),60610
TA1309000025,Halsted St & Roscoe St,41.94367,-87.64894,POINT (-87.64894 41.94367),60657
TA1309000026,Lincoln Ave & Belle Plaine Ave,41.956005,-87.68016,POINT (-87.68016 41.956005),60618
TA1309000027,Sheridan Rd & Buena Ave,41.958492,-87.65497,POINT (-87.65497000000001 41.958492),60613
TA1309000029,Leavitt St & Armitage Ave,41.917805,-87.682434,POINT (-87.682434 41.917805),60647
TA1309000030,Southport Ave & Clybourn Ave,41.920773,-87.66371,POINT (-87.66370999999999 41.920773),60614
TA1309000032,Elston Ave & Wabansia Ave,41.912918,-87.66417,POINT (-87.66417 41.912918),60642
TA1309000033,Sheffield Ave & Webster Ave,41.921753,-87.65389,POINT (-87.65389 41.921753),60614
TA1309000035,Clark St & Winnemac Ave,41.973347,-87.667854,POINT (-87.66785400000001 41.973347),60640
TA1309000036,Burling St & Diversey Pkwy,41.93314,-87.64776,POINT (-87.64776000000001 41.93314),60657
TA1309000037,Kimbark Ave & 53rd St,41.79957,-87.59475,POINT (-87.59475 41.79957),60615
TA1309000039,Lake Shore Dr & Diversey Pkwy,41.932587,-87.63643,POINT (-87.63643 41.932587),60657
TA1309000041,Sheridan Rd & Lawrence Ave,41.969517,-87.65469,POINT (-87.65469 41.969517),60640
TA1309000042,Lincoln Ave & Belmont Ave,41.939365,-87.66839,POINT (-87.66839 41.939365),60657
TA1309000043,Southport Ave & Irving Park Rd,41.954178,-87.66436,POINT (-87.66436 41.954178),60613
