endid,endname,end_lat,end_long,geometry,zipcode
31111.0,10th & U St NW,38.9172,-77.0259,POINT (-77.02589999999999 38.9172),20001
31112.0,Harvard St & Adams Mill Rd NW,38.92787,-77.04336,POINT (-77.04336000000001 38.92787),20009
31113.0,Columbia Rd & Belmont St NW,38.92067,-77.04368,POINT (-77.04367999999999 38.92067),20009
31114.0,18th St & Wyoming Ave NW,38.918808,-77.04157,POINT (-77.04156999999999 38.918808),20009
31115.0,Columbia Rd & Georgia Ave NW,38.92812,-77.023796,POINT (-77.023796 38.92812),20001
31116.0,California St & Florida Ave NW,38.917763,-77.04062,POINT (-77.04062 38.917763),20009
31117.0,15th & Euclid St  NW,38.92333,-77.0352,POINT (-77.0352 38.92333),20009
31118.0,3rd & Elm St NW,38.91762,-77.01597,POINT (-77.01597 38.91762),20001
31119.0,14th & Belmont St NW,38.921074,-77.03188,POINT (-77.03188 38.921074),20009
31120.0,10th & Florida Ave NW,38.920387,-77.02567,POINT (-77.02567000000001 38.920387),20001
31121.0,Calvert St & Woodley Pl NW,38.923584,-77.05005,POINT (-77.05005 38.923584),20008
31122.0,16th & Irving St NW,38.928894,-77.03625,POINT (-77.03625 38.928894),20010
31123.0,14th & Girard St NW,38.925285,-77.03237,POINT (-77.03237 38.925285),20009
31124.0,14th & Irving St NW,38.92855,-77.03223,POINT (-77.03223 38.92855),20010
31125.0,15th & W St NW,38.919018,-77.03445,POINT (-77.03445000000001 38.919018),20009
31126.0,11th & Girard St NW,38.925636,-77.027115,POINT (-77.02711499999999 38.925636),20001
31127.0,22nd & H St NW,38.898926,-77.04885,POINT (-77.04885 38.898926),20052
31128.0,23rd & M St NW,38.905304,-77.05026,POINT (-77.05025999999999 38.905304),20037
31129.0,15th St & Pennsylvania Ave NW,38.896465,-77.03338,POINT (-77.03337999999999 38.896465),20004
31130.0,7th & S St NW,38.914204,-77.02217,POINT (-77.02217 38.914204),20001
31131.0,14th & Otis Pl NW,38.934406,-77.032684,POINT (-77.032684 38.934406),20010
31132.0,13th & U St NW,38.916935,-77.02984,POINT (-77.02983999999999 38.916935),20009
