,year,stationid,station,startpoints,endpoints,total_points,ranking,service
12,2019-01-01,67,MIT at Mass Ave / Amherst St,61055,56986,118041,1,blue
13,2019-01-01,68,Central Square at Mass Ave / Essex St,50997,51442,102439,2,blue
14,2019-01-01,80,MIT Stata Center at Vassar St / Main St,47196,41828,89024,3,blue
15,2020-01-01,68,Central Square at Mass Ave / Essex St,34220,35158,69378,1,blue
16,2020-01-01,60,Charles Circle - Charles St at Cambridge St,33094,33450,66544,2,blue
17,2020-01-01,67,MIT at Mass Ave / Amherst St,29301,27574,56875,3,blue
0,2010-01-01,31200,Massachusetts Ave & Dupont Circle NW,5093,5603,10696,1,capital
1,2010-01-01,31201,15th & P St NW,3749,4047,7796,2,capital
2,2010-01-01,31104,Adams Mill & Columbia Rd NW,4160,3535,7695,3,capital
3,2011-01-01,31200,Massachusetts Ave & Dupont Circle NW,49092,53908,103000,1,capital
4,2011-01-01,31201,15th & P St NW,32884,36638,69522,2,capital
5,2011-01-01,31623,Columbus Circle / Union Station,32057,32252,64309,3,capital
6,2012-01-01,31200,Massachusetts Ave & Dupont Circle NW,58069,64797,122866,1,capital
7,2012-01-01,31623,Columbus Circle / Union Station,45692,47429,93121,2,capital
8,2012-01-01,31201,15th & P St NW,40823,46818,87641,3,capital
9,2013-01-01,31200,Massachusetts Ave & Dupont Circle NW,64875,72859,137734,1,capital
10,2013-01-01,31623,Columbus Circle / Union Station,58727,60107,118834,2,capital
11,2013-01-01,31201,15th & P St NW,45584,50659,96243,3,capital
12,2014-01-01,31623,Columbus Circle / Union Station,65507,65067,130574,1,capital
13,2014-01-01,31200,Massachusetts Ave & Dupont Circle NW,60764,69538,130302,2,capital
14,2014-01-01,31258,Lincoln Memorial,57170,56206,113376,3,capital
15,2015-01-01,31623,Columbus Circle / Union Station,70483,72611,143094,1,capital
16,2015-01-01,31258,Lincoln Memorial,69609,69417,139026,2,capital
17,2015-01-01,31200,Massachusetts Ave & Dupont Circle NW,55834,64155,119989,3,capital
18,2016-01-01,31623,Columbus Circle / Union Station,68350,71849,140199,1,capital
19,2016-01-01,31258,Lincoln Memorial,60196,60465,120661,2,capital
20,2016-01-01,31247,Jefferson Dr & 14th St SW,55782,57617,113399,3,capital
21,2017-01-01,31623,Columbus Circle / Union Station,70062,73569,143631,1,capital
22,2017-01-01,31258,Lincoln Memorial,65884,66489,132373,2,capital
23,2017-01-01,31247,Jefferson Dr & 14th St SW,59259,61135,120394,3,capital
24,2018-01-01,31623,Columbus Circle / Union Station,63493,68100,131593,1,capital
25,2018-01-01,31258,Lincoln Memorial,53869,54397,108266,2,capital
26,2018-01-01,31247,Jefferson Dr & 14th St SW,43993,45473,89466,3,capital
