endid,endname,end_lat,end_long,geometry,zipcode
217.0,Orient Heights T Stop - Bennington St at Saratoga St,42.38678,-71.006096,POINT (-71.006096 42.38678),2128
218.0,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351585,-71.04569,POINT (-71.04568999999999 42.351585),2210
219.0,Boston East - 126 Border St,42.373314,-71.04102,POINT (-71.04102 42.373314),2128
221.0,Verizon Innovation Hub 10 Ware Street,42.37251,-71.11305,POINT (-71.11305 42.37251),2138
222.0,Troy Boston,42.34375,-71.062256,POINT (-71.062256 42.34375),2118
224.0,Fresh Pond Reservation,42.38268,-71.14348,POINT (-71.14348 42.38268),2138
225.0,Cambridge Dept. of Public Works -147 Hampshire St.,42.371197,-71.097595,POINT (-71.097595 42.371197),2139
226.0,Commonwealth Ave At Babcock St,42.351547,-71.12126,POINT (-71.12126000000001 42.351547),2215
228.0,One Memorial Drive,42.361618,-71.08044,POINT (-71.08044 42.361618),2142
232.0,Four Corners - 157 Washington St,42.304127,-71.07929,POINT (-71.07929 42.304127),2121
233.0,St Mary's,42.346195,-71.107285,POINT (-71.107285 42.346195),2446
234.0,Broadway at Central St,42.395172,-71.0985,POINT (-71.0985 42.395172),2145
235.0,East Somerville Library (Broadway and Illinois),42.387627,-71.08319,POINT (-71.08319 42.387627),2145
236.0,Assembly Square T,42.39223,-71.07747,POINT (-71.07747000000001 42.39223),2145
239.0,Community Path at Cedar Street,42.394073,-71.111336,POINT (-71.11133599999999 42.394073),2144
258.0,Gallivan Blvd at Adams St,42.282974,-71.054665,POINT (-71.054665 42.282974),2124
260.0,Fields Corner T Stop,42.299667,-71.060585,POINT (-71.060585 42.299667),2122
271.0,Ashmont T Stop,42.285694,-71.06414,POINT (-71.06413999999999 42.285694),2124
272.0,Shawmut T Stop,42.292915,-71.06575,POINT (-71.06574999999999 42.292915),2124
273.0,Forest Hills,42.300922,-71.11425,POINT (-71.11425 42.300922),2130
279.0,Williams St at Washington St,42.306538,-71.107666,POINT (-71.10766599999999 42.306538),2130
280.0,Main St at Baldwin St,42.380856,-71.070625,POINT (-71.07062500000001 42.380856),2129
282.0,Stony Brook T Stop,42.316967,-71.10438,POINT (-71.10438000000001 42.316967),2130
296.0,Farragut Rd at E. 6th St,42.3334,-71.02495,POINT (-71.02495 42.3334),2127
317.0,BCBS Quincy,42.276005,-71.03925,POINT (-71.03925 42.276005),2171
318.0,Ames St at Broadway,42.363693,-71.08757,POINT (-71.08757 42.363693),2142
319.0,84 Cambridgepark Dr,42.3936,-71.14394,POINT (-71.14394 42.3936),2140
327.0,Main St at Thompson Sq,42.374878,-71.063835,POINT (-71.063835 42.374878),2129
328.0,Grove St at Community Path,42.396385,-71.12011,POINT (-71.12011 42.396385),2144
329.0,Washington St at Myrtle St,42.381706,-71.08377,POINT (-71.08377 42.381706),2143
330.0,30 Dane St,42.381,-71.10403,POINT (-71.10402999999999 42.381),2143
331.0,Huntington Ave at Mass Art,42.336586,-71.09887,POINT (-71.09887000000001 42.336586),2115
332.0,Harvard Ave at Brainerd Rd,42.34953,-71.130226,POINT (-71.13022599999999 42.34953),2134
333.0,699 Mt Auburn St,42.375004,-71.14872,POINT (-71.14872 42.375004),2138
334.0,Mass Ave at Hadley/Walden,42.39121,-71.122604,POINT (-71.122604 42.39121),2140
335.0,Harvard St at Greene-Rose Heritage Park,42.365993,-71.09522,POINT (-71.09522 42.365993),2139
336.0,Mattapan T Stop,42.267902,-71.09364,POINT (-71.09363999999999 42.267902),2126
337.0,Roslindale Village - South St,42.28707,-71.127754,POINT (-71.127754 42.28707),2131
338.0,Commonwealth Ave at Kelton St,42.34836,-71.13997,POINT (-71.13997000000001 42.34836),2134
340.0,Blue Hill Ave at Almont St,42.27462,-71.09373,POINT (-71.09372999999999 42.27462),2126
341.0,Roslindale Village - Washington St,42.28631,-71.128204,POINT (-71.128204 42.28631),2131
342.0,Boylston St at Jersey St,42.34465,-71.09733,POINT (-71.09733 42.34465),2215
344.0,Commonwealth Ave at Chiswick Rd,42.34025,-71.15169,POINT (-71.15169 42.34025),2135
345.0,Park Plaza at Charles St S.,42.35183,-71.06781,POINT (-71.06780999999999 42.35183),2116
346.0,Cleveland Circle,42.335545,-71.15061,POINT (-71.15061 42.335545),2135
348.0,Talbot Ave At Blue Hill Ave,42.294582,-71.08711,POINT (-71.08711 42.294582),2124
349.0,Washington St at Talbot Ave,42.290333,-71.07181,POINT (-71.07181 42.290333),2124
350.0,Codman Square Library,42.28736,-71.07111,POINT (-71.07111 42.28736),2124
351.0,Faneuil St at Arlington St,42.352768,-71.15988,POINT (-71.15988 42.352768),2135
352.0,Ring Rd,42.348278,-71.08045,POINT (-71.08045 42.348278),2199
353.0,Mattapan Library,42.27739,-71.09325,POINT (-71.09325 42.27739),2126
355.0,Bennington St at Constitution Beach,42.385223,-71.01063,POINT (-71.01063000000001 42.385223),2128
356.0,Charlestown Navy Yard,42.374126,-71.05481,POINT (-71.05481 42.374126),2129
358.0,Medford St at Charlestown BCYF,42.38043,-71.060555,POINT (-71.06055499999999 42.38043),2129
359.0,One Brigham Circle,42.333923,-71.10446,POINT (-71.10446 42.333923),2120
360.0,Bartlett St at John Elliot Sq,42.329464,-71.09016,POINT (-71.09016 42.329464),2119
361.0,Deerfield St at Commonwealth Ave,42.349243,-71.09728,POINT (-71.09728 42.349243),2215
362.0,Columbia Rd at Tierney Community Center,42.33023,-71.0506,POINT (-71.0506 42.33023),2127
363.0,Harrison Ave at Mullins Way,42.345215,-71.06384,POINT (-71.06384 42.345215),2118
364.0,Tremont St at Northampton St,42.338894,-71.0815,POINT (-71.08150000000001 42.338894),2118
365.0,Harrison Ave at Bennet St,42.349426,-71.0621,POINT (-71.0621 42.349426),2111
367.0,Vassal Lane at Tobin/VLUS,42.383934,-71.13961,POINT (-71.13961 42.383934),2138
369.0,Boston Public Market,42.36255,-71.05737,POINT (-71.05737000000001 42.36255),2113
370.0,Dartmouth St at Newbury St,42.35096,-71.07783,POINT (-71.07783000000001 42.35096),2116
371.0,700 Huron Ave,42.380787,-71.15413,POINT (-71.15412999999999 42.380787),2138
372.0,Boylston St at Exeter St,42.34959,-71.07947,POINT (-71.07947 42.34959),2116
373.0,Belgrade Ave at Walworth St,42.286346,-71.13672,POINT (-71.13672 42.286346),2131
374.0,Tremont St at Hamilton Pl,42.35668,-71.06167,POINT (-71.06167000000001 42.35668),2108
376.0,Honan Library,42.360275,-71.128525,POINT (-71.128525 42.360275),2134
