endid,endname,end_lat,end_long,geometry,zipcode
207,Broadway at Coronado Ave,37.83579,-122.25162,POINT (-122.25162 37.83579),94618
208,4th St at San Carlos St,37.332798,-121.88385,POINT (-121.88385 37.332798),95112
209,45th St at MLK Jr Way,37.833557,-122.26742,POINT (-122.26742 37.833557),94609
21,Montgomery St BART Station (Market St at 2nd St),37.789627,-122.40081,POINT (-122.40081 37.789627),94104
210,45th St at Manila,37.833294,-122.256226,POINT (-122.256226 37.833294),94609
211,Broadway at 40th St,37.82776,-122.256714,POINT (-122.256714 37.82776),94609
212,Mosswood Park,37.824932,-122.260475,POINT (-122.260475 37.824932),94609
213,32nd St at Adeline St,37.82385,-122.28119,POINT (-122.28119 37.82385),94608
214,Market St at Brockhurst St,37.823322,-122.275734,POINT (-122.275734 37.823322),94608
215,34th St at Telegraph Ave,37.822548,-122.26632,POINT (-122.26632 37.822548),94609
216,San Pablo Ave at 27th St,37.817825,-122.275696,POINT (-122.275696 37.817825),94612
217,27th St at MLK Jr Way,37.817017,-122.27176,POINT (-122.27176 37.817017),94612
218,DeFremery Park,37.812332,-122.28517,POINT (-122.28517 37.812332),94607
219,Marston Campbell Park,37.809822,-122.28019,POINT (-122.28019 37.809822),94607
22,Howard St at Beale St,37.789757,-122.394646,POINT (-122.394646 37.789757),94105
220,San Pablo Ave at MLK Jr Way,37.81135,-122.27342,POINT (-122.27342 37.81135),94612
221,6th Ave at E 12th St (Temporary Location),37.794395,-122.253845,POINT (-122.253845 37.794395),94606
222,10th Ave at E 15th St,37.792713,-122.24878,POINT (-122.24878 37.792713),94606
223,16th St Mission BART Station 2,37.764767,-122.42009,POINT (-122.42009 37.764767),94110
224,21st Ave at International Blvd,37.784855,-122.2393,POINT (-122.2393 37.784855),94606
225,23rd Ave at Foothill Blvd,37.78519,-122.23438,POINT (-122.23438 37.78519),94601
226,26th Ave at International Blvd,37.781124,-122.232994,POINT (-122.232994 37.781124),94601
227,Foothill Blvd at Fruitvale Ave,37.783756,-122.2226,POINT (-122.2226 37.783756),94601
228,Foothill Blvd at Harrington Ave,37.77993,-122.21773,POINT (-122.21773 37.77993),94601
229,Foothill Blvd at 42nd Ave,37.775745,-122.213036,POINT (-122.213036 37.775745),94601
23,The Embarcadero at Steuart St,37.791466,-122.39104,POINT (-122.39104 37.791466),94105
230,14th St at Mandela Pkwy,37.81074,-122.29141,POINT (-122.29141 37.81074),94607
231,14th St at Filbert St,37.80875,-122.28328,POINT (-122.28328 37.80875),94607
232,MLK Jr Way at 14th St,37.806164,-122.27604,POINT (-122.27604 37.806164),94612
